aX,aY,aZ,gX,gY,gZ
-0.165,-1.822,1.411,4.517,-28.320,59.937
-0.163,-1.931,1.371,2.502,-28.259,52.307
-0.163,-1.943,1.304,4.211,-27.954,42.725
-0.158,-1.927,1.209,7.385,-26.733,29.236
-0.137,-1.850,1.065,9.033,-27.039,14.587
-0.079,-1.644,0.910,6.714,-27.832,-2.136
-0.018,-1.375,0.773,0.549,-24.902,-23.071
0.001,-1.022,0.638,-5.798,-15.747,-47.302
0.036,-0.547,0.532,-8.606,-1.770,-68.542
0.123,-0.053,0.403,-9.338,9.888,-77.576
0.278,0.372,0.300,-14.648,12.756,-68.909
0.496,0.764,0.217,-26.855,2.686,-52.246
0.672,0.994,0.070,-43.274,-16.907,-39.185
0.785,1.207,-0.001,-62.378,-35.889,-41.504
1.029,1.415,-0.213,-84.351,-40.955,-59.570
0.906,1.711,-0.211,-112.793,-34.668,-98.267
0.763,2.163,-0.132,-140.564,-10.376,-125.977
0.543,2.589,0.119,-164.001,27.710,-154.846
0.176,2.957,0.524,-176.880,61.462,-171.814
-0.220,3.110,1.015,-177.856,80.627,-165.161
-0.545,3.083,1.448,-163.513,80.811,-142.700
-0.778,2.994,1.779,-136.780,71.716,-107.239
-0.870,2.913,2.012,-104.797,53.589,-65.125
-0.791,2.785,2.092,-66.650,29.358,-17.151
-0.559,2.382,1.908,-13.489,3.723,37.109
-0.219,1.876,1.556,49.927,-18.921,90.271
0.107,1.389,1.163,104.431,-33.325,129.822
0.325,0.995,0.812,137.085,-36.987,147.888
0.475,0.747,0.584,143.555,-31.616,144.836
0.530,0.590,0.445,134.888,-24.353,129.517
0.533,0.502,0.359,121.948,-15.869,110.413
0.525,0.432,0.354,107.605,-5.371,89.905
0.506,0.385,0.371,89.905,4.639,69.458
0.499,0.386,0.429,69.275,11.475,49.133
0.472,0.387,0.476,47.485,11.841,30.334
0.432,0.413,0.469,22.705,6.348,12.329
0.408,0.496,0.451,-7.446,3.906,-8.362
0.347,0.615,0.464,-37.842,2.075,-27.344
0.246,0.737,0.512,-64.087,0.061,-41.138
0.147,0.810,0.605,-79.163,1.831,-47.791
0.106,0.815,0.698,-80.017,11.353,-47.913
0.078,0.803,0.785,-70.496,23.437,-43.701
0.079,0.768,0.857,-53.772,33.875,-41.077
0.052,0.733,0.908,-32.471,40.405,-41.321
0.068,0.705,0.908,-10.986,42.053,-39.856
0.104,0.708,0.868,6.104,39.429,-35.095
0.116,0.646,0.848,17.334,32.349,-29.602
