aX,aY,aZ,gX,gY,gZ
0.072,-0.376,1.042,0.488,-2.930,2.808
0.114,-0.333,2.747,72.998,7.202,-10.986
0.118,-0.325,3.430,84.656,20.691,-13.916
0.145,-0.184,4.000,103.882,28.198,-14.954
0.207,-0.000,4.000,147.522,28.809,-11.597
0.195,0.075,4.000,227.905,21.240,-2.380
0.008,-0.041,4.000,317.627,13.367,11.108
-0.178,-0.103,3.804,385.071,21.301,23.254
-0.369,-0.132,3.157,428.406,35.034,36.865
-0.393,-0.136,2.566,456.177,59.509,55.847
-0.328,-0.076,2.116,464.050,83.252,72.632
-0.221,0.082,1.669,473.267,94.421,80.994
-0.186,0.288,1.167,489.624,85.938,81.177
-0.164,0.417,0.676,501.770,62.866,81.360
-0.295,0.496,0.241,503.235,39.551,82.336
-0.261,0.497,-0.057,494.446,24.109,89.478
-0.135,0.520,-0.204,471.069,24.780,99.487
-0.006,0.635,-0.267,439.148,31.006,98.511
0.110,0.734,-0.354,414.368,30.945,91.125
0.141,0.787,-0.425,393.372,27.832,84.839
0.108,0.811,-0.546,373.779,26.550,80.444
0.103,0.781,-0.665,354.553,32.410,79.041
0.049,0.797,-0.828,333.496,44.250,77.759
0.159,0.807,-0.996,315.063,56.824,75.134
0.176,0.818,-1.162,295.959,64.453,64.880
0.079,0.810,-1.347,275.391,62.500,49.316
-0.068,0.749,-1.557,253.906,59.753,41.016
-0.218,0.655,-1.697,228.027,67.261,45.105
-0.259,0.562,-1.809,197.754,85.449,56.213
-0.026,0.503,-1.898,173.096,102.356,64.636
0.089,0.521,-1.984,156.799,84.656,56.152
0.080,0.538,-2.220,141.174,29.846,39.856
0.071,0.510,-2.537,114.929,-18.250,27.771
0.082,0.360,-2.743,68.054,-36.987,18.494
0.130,0.275,-2.725,-0.427,-35.522,5.920
0.162,0.350,-2.512,-74.341,-29.663,-7.019
0.224,0.423,-2.251,-134.521,-27.100,-15.686
0.316,0.458,-1.972,-177.795,-24.048,-19.531
0.393,0.420,-1.670,-207.092,-22.888,-24.048
0.356,0.321,-1.464,-225.098,-35.217,-30.823
0.290,0.181,-1.223,-236.084,-43.945,-36.804
0.170,0.056,-1.028,-243.347,-44.861,-38.330
0.099,-0.048,-0.849,-246.033,-36.377,-33.875
0.049,-0.123,-0.686,-249.451,-21.912,-23.926
0.114,-0.184,-0.505,-255.249,-3.113,-12.939
0.243,-0.216,-0.358,-257.935,10.803,-4.944
0.396,-0.257,-0.226,-257.690,7.812,-3.418
0.428,-0.285,-0.180,-258.118,-10.315,-10.742
0.280,-0.389,-0.107,-262.512,-32.776,-22.644
-0.012,-0.598,0.278,-274.841,-39.734,-29.480
-0.160,-0.578,0.749,-282.837,-24.048,-27.344
-0.136,-0.593,1.101,-259.888,-0.183,-4.211
0.104,-0.633,1.290,-214.417,14.465,28.381
0.394,-0.742,1.352,-170.105,5.371,53.162
0.618,-0.746,1.307,-143.066,-16.907,60.547
0.770,-0.717,1.139,-129.578,-38.269,45.288
0.679,-0.795,0.893,-127.258,-48.218,16.663
0.518,-0.919,0.673,-140.564,-46.814,-8.057
0.320,-1.022,0.699,-166.992,-37.659,-23.071
0.121,-0.980,1.010,-196.533,-14.343,-27.649
0.056,-0.693,1.221,-201.172,18.433,-19.470
0.299,-0.807,1.360,-172.119,36.560,-0.061
0.492,-0.796,1.292,-133.545,22.278,5.798
0.508,-0.754,1.241,-103.027,-5.249,11.353
0.483,-0.714,1.153,-82.703,-36.194,10.315
0.448,-0.821,1.009,-68.726,-49.438,3.967
0.373,-0.889,0.848,-66.040,-44.983,-5.493
0.290,-0.875,0.721,-74.158,-32.288,-9.766
0.277,-0.866,0.677,-86.365,-15.137,-6.836
0.315,-0.861,0.711,-96.130,1.282,-3.479
0.247,-0.836,0.766,-97.778,3.418,-4.883
0.248,-0.784,0.777,-86.243,0.610,-7.385
0.250,-0.802,0.689,-68.542,-7.629,-5.249
0.277,-0.826,0.626,-57.068,-26.123,-2.563
0.273,-0.777,0.593,-53.528,-44.250,-3.479
0.267,-0.737,0.552,-52.490,-57.800,-6.165
0.237,-0.734,0.504,-54.565,-61.768,-8.240
0.217,-0.761,0.481,-64.270,-52.307,-8.362
0.256,-0.768,0.515,-79.956,-33.630,-7.629
0.303,-0.726,0.590,-96.252,-18.677,-7.568
0.326,-0.680,0.659,-106.750,-14.648,-9.460
0.309,-0.651,0.708,-109.131,-17.029,-14.038
0.291,-0.651,0.766,-104.248,-22.949,-20.447
0.263,-0.642,0.791,-95.215,-34.790,-25.269
0.205,-0.639,0.781,-84.534,-51.514,-26.917
0.142,-0.641,0.755,-75.134,-64.575,-25.696
0.095,-0.653,0.748,-69.641,-66.528,-20.874
0.101,-0.633,0.755,-68.359,-58.594,-14.160
0.145,-0.597,0.763,-68.054,-48.157,-7.812
0.187,-0.585,0.750,-68.787,-40.833,-4.395
0.202,-0.596,0.734,-71.594,-35.950,-4.395
0.235,-0.587,0.760,-75.562,-32.654,-7.202
0.245,-0.544,0.802,-77.026,-33.630,-14.954
0.202,-0.544,0.841,-74.829,-41.687,-24.109
0.092,-0.562,0.881,-73.792,-49.500,-30.518
0.009,-0.565,0.927,-74.158,-46.509,-31.616
0.014,-0.560,0.983,-71.899,-32.227,-26.550
0.068,-0.561,1.019,-64.697,-17.151,-18.311
0.110,-0.553,1.018,-54.382,-8.606,-10.376
0.142,-0.539,0.986,-41.748,-6.409,-5.737
0.173,-0.525,0.935,-30.518,-10.071,-4.578
0.162,-0.524,0.878,-25.330,-16.785,-6.165
0.130,-0.541,0.849,-26.245,-19.165,-9.460
0.119,-0.541,0.859,-30.884,-15.198,-15.015
0.079,-0.536,0.893,-36.316,-13.428,-18.921
0.024,-0.533,0.922,-40.894,-11.047,-17.395
0.025,-0.537,0.979,-42.786,-2.563,-12.390
0.072,-0.531,1.034,-42.175,7.263,-7.019
